MySQL [soybase]> select QTLName,db_accn FROM qtl_xref_table WHERE db_id='TO';
+--------------------------------------+-------------+
| QTLName                              | db_accn     |
| Plant height 5-9                     | TO:0000207  |
| Plant height 5-10                    | TO:0000207  |
| Plant height 5-11                    | TO:0000207  |
| Plant height 5-12                    | TO:0000207  |
| Plant height 5-13                    | TO:0000207  |
| Plant height 5-14                    | TO:0000207  |
| Plant height 6-1                     | TO:0000207  |
| Plant height 6-2                     | TO:0000207  |
| Plant height 6-3                     | TO:0000207  |
| Plant height 6-4                     | TO:0000207  |
| Plant height 6-5                     | TO:0000207  |
| Plant height 6-6                     | TO:0000207  |
| Plant height 6-7                     | TO:0000207  |
| Plant height 6-8                     | TO:0000207  |
| Plant height 6-9                     | TO:0000207  |
| Plant height 6-10                    | TO:0000207  |
| Plant height 6-11                    | TO:0000207  |
| Plant height 6-12                    | TO:0000207  |
| Plant height 6-13                    | TO:0000207  |
| Plant height 6-14                    | TO:0000207  |
| Plant height 7-1                     | TO:0000207  |
| Plant height 7-2                     | TO:0000207  |
| Plant height 7-3                     | TO:0000207  |
| Plant height 8-1                     | TO:0000207  |
| Plant height 8-2                     | TO:0000207  |
| Plant height 8-3                     | TO:0000207  |
| Plant height 8-4                     | TO:0000207  |
| Plant height 9-1                     | TO:0000207  |
| Plant height 9-2                     | TO:0000207  |
| Plant height 9-3                     | TO:0000207  |
| Plant height 10-1                    | TO:0000207  |
| Plant height 10-2                    | TO:0000207  |
| Plant height 10-3                    | TO:0000207  |
| Plant height 10-4                    | TO:0000207  |
| Plant height 11-1                    | TO:0000207  |
| Plant height 11-2                    | TO:0000207  |
| Plant height 11-3                    | TO:0000207  |
| Plant height 11-4                    | TO:0000207  |
| Plant height 12-1                    | TO:0000207  |
| Plant height 13-1                    | TO:0000207  |
| Plant height 13-2                    | TO:0000207  |
| Plant height 13-3                    | TO:0000207  |
| Plant height 13-4                    | TO:0000207  |
| Plant height 13-5                    | TO:0000207  |
| Plant height 13-6                    | TO:0000207  |
| Plant height 13-7                    | TO:0000207  |
| Plant height 13-8                    | TO:0000207  |
| Plant height 13-9                    | TO:0000207  |
| Plant height 14-1                    | TO:0000207  |
| Plant height 15-1                    | TO:0000207  |
| Plant height 16-1                    | TO:0000207  |
| Pod dehiscence 1-1                   | TO:0002633  |
| Pod dehiscence 1-2                   | TO:0002633  |
| Pod dehiscence 1-3                   | TO:0002633  |
| Pod dehiscence 1-4                   | TO:0002633  |
| Pod dehiscence 1-5                   | TO:0002633  |
| Pod dehiscence 1-6                   | TO:0002633  |
| Pod dehiscence 1-7                   | TO:0002633  |
| Pod dehiscence 1-8                   | TO:0002633  |
| Pod dehiscence 1-9                   | TO:0002633  |
| Pod dehiscence 1-10                  | TO:0002633  |
| Pod dehiscence 1-11                  | TO:0002633  |
| Pod dehiscence 1-12                  | TO:0002633  |
| Pod maturity 1-1                     | TO:0002633  |
| Pod maturity 1-2                     | TO:0002633  |
| Pod maturity 1-3                     | TO:0002633  |
| Pod maturity 1-4                     | TO:0002633  |
| Pod maturity 1-5                     | TO:0002633  |
| Pod maturity 2-1                     | TO:0002633  |
| Pod maturity 3-1                     | TO:0002633  |
| Pod maturity 3-2                     | TO:0002633  |
| Pod maturity 3-3                     | TO:0002633  |
| Pod maturity 4-1                     | TO:0002633  |
| Pod maturity 4-2                     | TO:0002633  |
| Pod maturity 4-3                     | TO:0002633  |
| Pod maturity 5-1                     | TO:0002633  |
| Pod maturity 5-2                     | TO:0002633  |
| Pod maturity 5-3                     | TO:0002633  |
| Pod maturity 5-4                     | TO:0002633  |
| Pod maturity 6-1                     | TO:0002633  |
| Pod maturity 6-2                     | TO:0002633  |
| Pod maturity 6-3                     | TO:0002633  |
| Pod maturity 6-4                     | TO:0002633  |
| Pod maturity 6-5                     | TO:0002633  |
| Pod maturity 6-6                     | TO:0002633  |
| Pod maturity 6-7                     | TO:0002633  |
| Pod maturity 6-8                     | TO:0002633  |
| Pod maturity 7-1                     | TO:0002633  |
| Pod maturity 7-2                     | TO:0002633  |
| Pod maturity 8-1                     | TO:0002633  |
| Pod maturity 8-2                     | TO:0002633  |
| Pod maturity 8-3                     | TO:0002633  |
| Pod maturity 8-4                     | TO:0002633  |
| Pod maturity 8-5                     | TO:0002633  |
| Pod maturity 9-1                     | TO:0002633  |
