QTLID	QTLName	LocusName
303	Jav root-knot nematode 2-1	B212_1
304	Seed oil 1-1	A111_1
304	Seed oil 1-1	T153_1
305	Seed oil 1-2	A315_1
305	Seed oil 1-2	BCl
306	Seed oil 2-1	K011_1
307	Seed oil 2-2	A407_1
308	Seed oil 2-3	Pb
309	Seed oil 2-4	A454_1
310	Seed oil 2-5	SAC7_1
311	Seed oil 2-6	A242_1
312	Seed oil 2-7	A023_1
313	Seed oil 2-8	K229_1
314	Seed oil 2-9	A203_1
315	Seed oil 3-1	Satt006
316	Seed oil 3-2	T155_1
317	Seed oil 3-3	A329_2
318	Seed oil 4-1	K400_1
319	Seed oil 4-2	A975_1
320	Seed oil 4-3	A104_1
321	Seed oil 4-4	A505_1
322	Seed oil 4-5	A109_1
323	Seed oil 4-6	L148_1
324	Seed oil 4-7	A584_1
325	Seed oil 4-8	A816_1
326	Seed oil 4-9	A890_1
327	Seed oil 4-10	A069_1
328	Seed oil 4-11	K387_1
329	Seed oil 5-1	A069_2
330	Seed oil 5-2	B122_1
331	Seed oil 5-3	A023_1
332	Seed oil 5-4	cr142_1
333	Seed oil 5-5	K258_2
334	Seed oil 5-6	cr326_1
335	Seed oil 6-1	A063_1
336	Seed oil 6-2	L154_1
337	Seed oil 6-3	A235_4
338	Seed oil 6-4	L002_2
339	Seed oil 6-5	A566_2
340	Seed oil 7-1	B072_1
341	Seed oil 8-1	Satt174
342	Seed oil 8-2	SOYGPATR
343	Seed oil 9-1	SOYGPATR
344	Seed oil 9-2	Satt432
345	Seed oil 9-3	A489_1
346	Seed oil 10-1	T155_1
347	Seed oil 11-1	A144_1
348	Seed oil 12-1	A144_1
349	Seed oil 13-1	B170_1
350	Seed oil 13-2	Satt468
351	Seed oil 13-3	Satt510
352	Seed oil 13-4	BLT002_1
353	Seed oil 13-5	L026_2
354	Seed oil 14-1	Satt020
355	Seed oil 14-2	Satt196
356	Seed oil 14-3	Satt562
357	Seed oil 15-1	Satt239
357	Seed oil 15-1	Satt496
363	Seed oil to protein ratio 1-1	R079_1
363	Seed oil to protein ratio 1-1	R183
363	Seed oil to protein ratio 1-1	R183_1
364	Seed oil to protein ratio 1-2	R079_1
364	Seed oil to protein ratio 1-2	R183
364	Seed oil to protein ratio 1-2	R183_1
365	Seed oleic 1-1	A082_1
366	Seed oleic 1-2	A104_1
367	Seed oleic 1-3	A170_1
368	Seed oleic 1-4	A242_2
369	Seed oleic 1-5	A619_1
370	Seed oleic 1-6	Pb
371	Seed palmitic 1-1	A343_1
372	Seed palmitic 1-2	A018_1
373	Seed palmitic 1-3	K375_1
374	Seed palmitic 2-1	Satt684
375	Seed palmitic 2-2	Satt175
376	Photoperiod insensitivity 1-1	P029_1
376	Photoperiod insensitivity 1-1	Satt205
377	Photoperiod insensitivity 2-1	Satt205
377	Photoperiod insensitivity 2-1	Satt286
378	Photoperiod insensitivity 2-2	A073_1
378	Photoperiod insensitivity 2-2	K443_1
379	Phytoph 1-1	Satt252
379	Phytoph 1-1	Satt423
380	Phytoph 1-2	Satt266
380	Phytoph 1-2	Satt579
381	Plant height 1-1	A385_1
381	Plant height 1-1	G173_1
382	Plant height 2-1	R079_1
383	Plant height 2-2	A060_1
384	Plant height 2-3	A397_1
385	Plant height 2-4	A060_2
386	Plant height 3-1	Satt006
387	Plant height 3-2	Satt079
388	Plant height 3-3	R079_1
389	Plant height 3-4	A060_1
390	Plant height 3-5	BLT007_1
391	Plant height 4-1	K007_1
392	Plant height 4-2	Dt1
393	Plant height 4-3	A516_3
394	Plant height 4-4	Dt1
394	Plant height 4-4	K385_1
395	Plant height 5-1	cr415_1
396	Plant height 5-2	BLT043_1
397	Plant height 5-3	A463_1
398	Plant height 5-4	A063_1
399	Plant height 5-5	A135_2
400	Plant height 5-6	A186_1
401	Plant height 5-7	P157_1
402	Plant height 5-8	K644_1
403	Plant height 5-9	B166_1
404	Plant height 5-10	K385_1
405	Plant height 5-11	O109_1
406	Plant height 5-12	B164_1
407	Plant height 5-13	K375_1
408	Plant height 5-14	K102_1
409	Plant height 6-1	A295_1
409	Plant height 6-1	G173_1
410	Plant height 6-2	A363_1
410	Plant height 6-2	BLT531_1
411	Plant height 6-3	214H10
411	Plant height 6-3	A397_1
412	Plant height 6-4	BLT004_1
412	Plant height 6-4	L050_7
413	Plant height 6-5	A343_2
413	Plant height 6-5	R079_1
414	Plant height 6-6	A060_1
414	Plant height 6-6	L50dr13
415	Plant height 6-7	BLT007_1
