#QTLName	OntologyIdentifier
First flower 25-4	TO:0000369
First flower 26-1	PO:0007016
First flower 26-1	PO:0009046
First flower 26-1	TO:0000369
First flower 26-10	PO:0007016
First flower 26-10	PO:0009046
First flower 26-10	TO:0000369
First flower 26-11	PO:0007016
First flower 26-11	PO:0009046
First flower 26-11	TO:0000369
First flower 26-12	PO:0007016
First flower 26-12	PO:0009046
First flower 26-12	TO:0000369
First flower 26-13	PO:0007016
First flower 26-13	PO:0009046
First flower 26-13	TO:0000369
First flower 26-14	PO:0007016
First flower 26-14	PO:0009046
First flower 26-14	TO:0000369
First flower 26-15	PO:0007016
First flower 26-15	PO:0009046
First flower 26-15	TO:0000369
First flower 26-16	PO:0007016
First flower 26-16	PO:0009046
First flower 26-16	TO:0000369
First flower 26-17	PO:0007016
First flower 26-17	PO:0009046
First flower 26-17	TO:0000369
First flower 26-18	PO:0007016
First flower 26-18	PO:0009046
First flower 26-18	TO:0000369
First flower 26-2	PO:0007016
First flower 26-2	PO:0009046
First flower 26-2	TO:0000369
First flower 26-3	PO:0007016
First flower 26-3	PO:0009046
First flower 26-3	TO:0000369
First flower 26-4	PO:0007016
First flower 26-4	PO:0009046
First flower 26-4	TO:0000369
First flower 26-5	PO:0007016
First flower 26-5	PO:0009046
First flower 26-5	TO:0000369
First flower 26-6	PO:0007016
First flower 26-6	PO:0009046
First flower 26-6	TO:0000369
First flower 26-7	PO:0007016
First flower 26-7	PO:0009046
First flower 26-7	TO:0000369
First flower 26-8	PO:0007016
First flower 26-8	PO:0009046
First flower 26-8	TO:0000369
First flower 26-9	PO:0007016
First flower 26-9	PO:0009046
First flower 26-9	TO:0000369
First flower 27-1	PO:0007016
First flower 27-1	PO:0009046
First flower 27-1	TO:0000369
First flower 3-1	PO:0007016
First flower 3-1	PO:0009046
First flower 3-1	TO:0000369
First flower 3-2	PO:0007016
First flower 3-2	PO:0009046
First flower 3-2	TO:0000369
First flower 3-3	PO:0007016
First flower 3-3	PO:0009046
First flower 3-3	TO:0000369
First flower 3-4	PO:0007016
First flower 3-4	PO:0009046
First flower 3-4	TO:0000369
First flower 4-1	PO:0007016
First flower 4-1	PO:0009046
First flower 4-1	TO:0000369
First flower 4-2	PO:0007016
First flower 4-2	PO:0009046
First flower 4-2	TO:0000369
First flower 4-3	PO:0007016
First flower 4-3	PO:0009046
First flower 4-3	TO:0000369
First flower 4-4	PO:0007016
First flower 4-4	PO:0009046
First flower 4-4	TO:0000369
First flower 5-1	PO:0007016
First flower 5-1	PO:0009046
First flower 5-1	TO:0000369
First flower 5-2	PO:0007016
First flower 5-2	PO:0009046
First flower 5-2	TO:0000369
First flower 5-3	PO:0007016
First flower 5-3	PO:0009046
First flower 5-3	TO:0000369
First flower 6-1	PO:0007016
First flower 6-1	PO:0009046
First flower 6-1	TO:0000369
First flower 6-2	PO:0007016
First flower 6-2	PO:0009046
First flower 6-2	TO:0000369
First flower 6-3	PO:0007016
First flower 6-3	PO:0009046
First flower 6-3	TO:0000369
First flower 7-1	PO:0007016
First flower 7-1	PO:0009046
First flower 7-1	TO:0000369
First flower 7-2	PO:0007016
First flower 7-2	PO:0009046
First flower 7-2	TO:0000369
First flower 7-3	PO:0007016
First flower 7-3	PO:0009046
First flower 7-3	TO:0000369
First flower 8-1	PO:0007016
First flower 8-1	PO:0009046
First flower 8-1	TO:0000369
First flower 8-2	PO:0007016
First flower 8-2	PO:0009046
First flower 8-2	TO:0000369
